Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_242_A,36.85387987,NaN
A02,FAM,N1,Unkn,NO_242_A,37.6449691,NaN
A03,FAM,N1,Unkn,NO_242_A,37.06562562,NaN
A05,FAM,N1,Unkn,MI_242_A,36.72592592,NaN
A06,FAM,N1,Unkn,MI_242_A,37.51957039,NaN
A07,FAM,N1,Unkn,MI_242_A,NaN,NaN
A09,FAM,N1,Unkn,CC_242_A,37.3493537,NaN
A10,FAM,N1,Unkn,CC_242_A,NaN,NaN
A11,FAM,N1,Unkn,CC_242_A,37.23811415,NaN
A13,FAM,N2,Unkn,NO_242_A,NaN,NaN
A14,FAM,N2,Unkn,NO_242_A,38.40694044,NaN
A15,FAM,N2,Unkn,NO_242_A,37.46103659,NaN
A16,FAM,N2,Unkn,MI_242_A,38.80131896,NaN
A17,FAM,N2,Unkn,MI_242_A,36.2787087,NaN
A18,FAM,N2,Unkn,MI_242_A,36.69096479,NaN
A19,FAM,N2,Unkn,CC_242_A,39.25161496,NaN
A20,FAM,N2,Unkn,CC_242_A,39.27100071,NaN
A21,FAM,N2,Unkn,CC_242_A,NaN,NaN
A22,FAM,BCOV,Unkn,NO_242_B,32.95825468,NaN
A23,FAM,BCOV,Unkn,NO_242_B,30.96134344,NaN
A24,FAM,BCOV,Unkn,NO_242_B,29.56465209,NaN
C01,FAM,N1,Unkn,NO_242_B,37.12902923,NaN
C02,FAM,N1,Unkn,NO_242_B,NaN,NaN
C03,FAM,N1,Unkn,NO_242_B,37.87938495,NaN
C05,FAM,N1,Unkn,MI_242_B,35.74860073,NaN
C06,FAM,N1,Unkn,MI_242_B,37.41700437,NaN
C07,FAM,N1,Unkn,MI_242_B,36.96616135,NaN
C09,FAM,N1,Unkn,CC_242_B,38.31137171,NaN
C10,FAM,N1,Unkn,CC_242_B,NaN,NaN
C11,FAM,N1,Unkn,CC_242_B,36.60886316,NaN
C13,FAM,N2,Unkn,NO_242_B,39.51239822,NaN
C14,FAM,N2,Unkn,NO_242_B,38.64815085,NaN
C15,FAM,N2,Unkn,NO_242_B,37.14328691,NaN
C16,FAM,N2,Unkn,MI_242_B,36.82851307,NaN
