Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_236_G,37.61324125,NaN
A02,FAM,N1,Unkn,NO_236_G,NaN,NaN
A03,FAM,N1,Unkn,NO_236_G,35.8371907,NaN
A05,FAM,N1,Unkn,MI_236_A,37.35037094,NaN
A06,FAM,N1,Unkn,MI_236_A,36.63712649,NaN
A07,FAM,N1,Unkn,MI_236_A,37.0448043,NaN
A09,FAM,N1,Unkn,CC_236_A,36.23697007,NaN
A10,FAM,N1,Unkn,CC_236_A,37.68419767,NaN
A11,FAM,N1,Unkn,CC_236_A,NaN,NaN
A13,FAM,N2,Unkn,NO_236_G,NaN,NaN
A14,FAM,N2,Unkn,NO_236_G,NaN,NaN
A15,FAM,N2,Unkn,NO_236_G,39.20315122,NaN
A16,FAM,N2,Unkn,MI_236_A,37.10454169,NaN
A17,FAM,N2,Unkn,MI_236_A,NaN,NaN
A18,FAM,N2,Unkn,MI_236_A,38.88573801,NaN
A19,FAM,N2,Unkn,CC_236_A,38.94765039,NaN
A20,FAM,N2,Unkn,CC_236_A,38.10597403,NaN
A21,FAM,N2,Unkn,CC_236_A,36.12111778,NaN
A22,FAM,BCOV,Unkn,NO_236_B,29.27321667,NaN
A23,FAM,BCOV,Unkn,NO_236_B,29.30074052,NaN
A24,FAM,BCOV,Unkn,NO_236_B,29.23179502,NaN
C01,FAM,N1,Unkn,NO_236_B,38.36483121,NaN
C02,FAM,N1,Unkn,NO_236_B,37.44009104,NaN
C03,FAM,N1,Unkn,NO_236_B,38.23545988,NaN
C05,FAM,N1,Unkn,MI_236_B,37.67808313,NaN
C06,FAM,N1,Unkn,MI_236_B,37.32809732,NaN
C07,FAM,N1,Unkn,MI_236_B,36.49352858,NaN
C09,FAM,N1,Unkn,CC_236_B,NaN,NaN
C10,FAM,N1,Unkn,CC_236_B,38.12955407,NaN
C11,FAM,N1,Unkn,CC_236_B,36.50645168,NaN
C13,FAM,N2,Unkn,NO_236_B,NaN,NaN
C14,FAM,N2,Unkn,NO_236_B,38.20214507,NaN
C15,FAM,N2,Unkn,NO_236_B,37.6763334,NaN
C16,FAM,N2,Unkn,MI_236_B,38.12008647,NaN
C17,FAM,N2,Unkn,MI_236_B,37.53263106,NaN
C18,FAM,N2,Unkn,MI_236_B,39.79276601,NaN
C19,FAM,N2,Unkn,CC_236_B,38.93631418,NaN
C20,FAM,N2,Unkn,CC_236_B,38.14085329,NaN
C21,FAM,N2,Unkn,CC_236_B,37.84506872,NaN
C22,FAM,BCOV,Unkn,MI_236_B,28.89177127,NaN
C23,FAM,BCOV,Unkn,MI_236_B,28.71917073,NaN
C24,FAM,BCOV,Unkn,MI_236_B,28.65159243,NaN
E01,FAM,N1,Unkn,NO_236_C,38.28031705,NaN
E02,FAM,N1,Unkn,NO_236_C,38.23697991,NaN
E03,FAM,N1,Unkn,NO_236_C,37.22032018,NaN
E05,FAM,N1,Unkn,MI_236_C,37.27081891,NaN
E06,FAM,N1,Unkn,MI_236_C,35.5231121,NaN
E07,FAM,N1,Unkn,MI_236_C,38.60344647,NaN
E09,FAM,N1,Unkn,CC_236_C,35.57884121,NaN
E10,FAM,N1,Unkn,CC_236_C,36.76244685,NaN
E11,FAM,N1,Unkn,CC_236_C,36.28691043,NaN
E13,FAM,N2,Unkn,NO_236_C,38.30425547,NaN
E14,FAM,N2,Unkn,NO_236_C,NaN,NaN
E15,FAM,N2,Unkn,NO_236_C,36.79935794,NaN
E16,FAM,N2,Unkn,MI_236_C,38.1238919,NaN
E17,FAM,N2,Unkn,MI_236_C,38.03310192,NaN
E18,FAM,N2,Unkn,MI_236_C,37.91371055,NaN
E19,FAM,N2,Unkn,CC_236_C,36.05738573,NaN
E20,FAM,N2,Unkn,CC_236_C,36.88533095,NaN
E21,FAM,N2,Unkn,CC_236_C,36.39669704,NaN
E22,FAM,BCOV,Unkn,CC_236_B,29.21449337,NaN
E23,FAM,BCOV,Unkn,CC_236_B,29.17380505,NaN
E24,FAM,BCOV,Unkn,CC_236_B,29.17149302,NaN
G01,FAM,N1,Unkn,NO_236_D,37.01215239,NaN
G02,FAM,N1,Unkn,NO_236_D,36.32761926,NaN
G03,FAM,N1,Unkn,NO_236_D,36.61297898,NaN
G05,FAM,N1,Unkn,MI_236_D,35.59669691,NaN
G06,FAM,N1,Unkn,MI_236_D,35.47245514,NaN
G07,FAM,N1,Unkn,MI_236_D,NaN,NaN
G09,FAM,N1,Unkn,CC_236_D,38.32036539,NaN
G10,FAM,N1,Unkn,CC_236_D,35.84779101,NaN
G11,FAM,N1,Unkn,CC_236_D,36.91222345,NaN
G13,FAM,N2,Unkn,NO_236_D,38.11956145,NaN
G14,FAM,N2,Unkn,NO_236_D,39.72425132,NaN
G15,FAM,N2,Unkn,NO_236_D,NaN,NaN
G16,FAM,N2,Unkn,MI_236_D,39.75300757,NaN
G17,FAM,N2,Unkn,MI_236_D,38.03124735,NaN
G18,FAM,N2,Unkn,MI_236_D,36.6370588,NaN
G19,FAM,N2,Unkn,CC_236_D,39.44639896,NaN
G20,FAM,N2,Unkn,CC_236_D,37.80861467,NaN
G21,FAM,N2,Unkn,CC_236_D,39.3269919,NaN
G22,FAM,BCOV,Unkn,CG_236,19.79343498,NaN
G23,FAM,BCOV,Unkn,CG_236,19.82183368,NaN
G24,FAM,BCOV,Unkn,CG_236,19.88962265,NaN
I01,FAM,N1,Unkn,NO_236_E,37.28218885,NaN
I02,FAM,N1,Unkn,NO_236_E,37.21604591,NaN
I03,FAM,N1,Unkn,NO_236_E,NaN,NaN
I05,FAM,N1,Unkn,MI_236_E,37.25785573,NaN
I06,FAM,N1,Unkn,MI_236_E,37.19379548,NaN
I07,FAM,N1,Unkn,MI_236_E,36.69040906,NaN
I09,FAM,N1,Unkn,CC_236_E,NaN,NaN
I10,FAM,N1,Unkn,CC_236_E,35.13047944,NaN
I11,FAM,N1,Unkn,CC_236_E,36.58819841,NaN
I13,FAM,N2,Unkn,NO_236_E,37.87497219,NaN
I14,FAM,N2,Unkn,NO_236_E,39.02304813,NaN
I15,FAM,N2,Unkn,NO_236_E,37.74564415,NaN
I16,FAM,N2,Unkn,MI_236_E,37.08196964,NaN
I17,FAM,N2,Unkn,MI_236_E,37.70933103,NaN
I18,FAM,N2,Unkn,MI_236_E,37.66574289,NaN
I19,FAM,N2,Unkn,CC_236_E,37.40005397,NaN
I20,FAM,N2,Unkn,CC_236_E,36.30896891,NaN
I21,FAM,N2,Unkn,CC_236_E,37.22236847,NaN
I22,FAM,BCOV,Unkn,NO_RNA_236,8.276787778,NaN
