Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_243_A,NaN,NaN
A02,FAM,N1,Unkn,NO_243_A,37.86063073,NaN
A03,FAM,N1,Unkn,NO_243_A,36.59340853,NaN
A05,FAM,N1,Unkn,MI_243_A,36.33484169,NaN
A06,FAM,N1,Unkn,MI_243_A,37.6410375,NaN
A07,FAM,N1,Unkn,MI_243_A,37.13241289,NaN
A09,FAM,N1,Unkn,CC_243_A,36.55024703,NaN
A10,FAM,N1,Unkn,CC_243_A,NaN,NaN
A11,FAM,N1,Unkn,CC_243_A,36.98068997,NaN
A13,FAM,N2,Unkn,NO_243_A,38.46234447,NaN
A14,FAM,N2,Unkn,NO_243_A,39.03381684,NaN
A15,FAM,N2,Unkn,NO_243_A,38.3422612,NaN
A16,FAM,N2,Unkn,MI_243_A,38.66052955,NaN
A17,FAM,N2,Unkn,MI_243_A,38.61182832,NaN
A18,FAM,N2,Unkn,MI_243_A,37.64746814,NaN
A19,FAM,N2,Unkn,CC_243_A,37.1746812,NaN
A20,FAM,N2,Unkn,CC_243_A,37.69887085,NaN
A21,FAM,N2,Unkn,CC_243_A,37.73715617,NaN
A22,FAM,BCOV,Unkn,NO_243_B,30.0624791,NaN
A23,FAM,BCOV,Unkn,NO_243_B,29.90612496,NaN
A24,FAM,BCOV,Unkn,NO_243_B,29.757046,NaN
C01,FAM,N1,Unkn,NO_243_B,36.09874458,NaN
C02,FAM,N1,Unkn,NO_243_B,36.4064729,NaN
C03,FAM,N1,Unkn,NO_243_B,NaN,NaN
C05,FAM,N1,Unkn,MI_243_B,38.6636849,NaN
C06,FAM,N1,Unkn,MI_243_B,37.56527088,NaN
C07,FAM,N1,Unkn,MI_243_B,38.5758475,NaN
C09,FAM,N1,Unkn,CC_243_B,37.87728773,NaN
C10,FAM,N1,Unkn,CC_243_B,38.92972408,NaN
C11,FAM,N1,Unkn,CC_243_B,37.86067141,NaN
C13,FAM,N2,Unkn,NO_243_B,39.97658817,NaN
C14,FAM,N2,Unkn,NO_243_B,NaN,NaN
C15,FAM,N2,Unkn,NO_243_B,38.17863168,NaN
C16,FAM,N2,Unkn,MI_243_B,38.11483159,NaN
C17,FAM,N2,Unkn,MI_243_B,38.13018335,NaN
C18,FAM,N2,Unkn,MI_243_B,38.31914112,NaN
C19,FAM,N2,Unkn,CC_243_B,38.53661079,NaN
C20,FAM,N2,Unkn,CC_243_B,NaN,NaN
C21,FAM,N2,Unkn,CC_243_B,37.44212428,NaN
C22,FAM,BCOV,Unkn,MI_243_B,31.20894674,NaN
C23,FAM,BCOV,Unkn,MI_243_B,31.04596615,NaN
C24,FAM,BCOV,Unkn,MI_243_B,31.0046367,NaN
E01,FAM,N1,Unkn,NO_243_C,NaN,NaN
E02,FAM,N1,Unkn,NO_243_C,36.67610547,NaN
E03,FAM,N1,Unkn,NO_243_C,36.28810808,NaN
E05,FAM,N1,Unkn,MI_243_C,36.9227684,NaN
E06,FAM,N1,Unkn,MI_243_C,37.45722231,NaN
E07,FAM,N1,Unkn,MI_243_C,36.91266626,NaN
E09,FAM,N1,Unkn,CC_243_C,37.12440019,NaN
