,date,new_cases_clarke,cases_cum_clarke,X7_day_ave_clarke,wrf,collection_num,target,mean_copy_num_uL_rxn,mean_copy_num_L,sd_L,se_L,mean_total_copies,sd_total_copies,lo_95,up_95
1,3/15/20,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3/16/20,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3/17/20,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3/18/20,4,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3/19/20,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3/20/20,1,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3/21/20,1,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3/22/20,2,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3/23/20,5,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3/24/20,2,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3/25/20,3,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3/26/20,6,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,3/27/20,5,38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,3/28/20,1,39,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3/29/20,1,40,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3/30/20,8,48,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3/31/20,4,52,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,4/1/20,4,56,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,4/2/20,2,58,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,4/3/20,2,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,4/4/20,1,61,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,4/5/20,3,64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,4/6/20,9,73,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4/7/20,5,78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,4/8/20,6,84,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,4/9/20,2,86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,4/10/20,0,86,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,4/11/20,2,88,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,4/12/20,0,88,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,4/13/20,3,91,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,4/14/20,4,95,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4/15/20,6,101,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,4/16/20,0,101,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,4/17/20,5,106,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,4/18/20,0,106,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,4/19/20,3,109,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,4/20/20,5,114,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,4/21/20,1,115,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
