sample_id,target,ct
CALFGUARD_174,BCoV,19.22128435
CALFGUARD_174,BCoV,19.22446152
CALFGUARD_174,BCoV,19.26451535
CALFGUARD_175,BCoV,18.35431664
CALFGUARD_175,BCoV,18.53541321
CALFGUARD_175,BCoV,18.58570848
CALFGUARD_176,BCoV,18.78210667
CALFGUARD_176,BCoV,18.97309707
CALFGUARD_176,BCoV,18.9973802
CALFGUARD_180,BCoV,19.32141857
CALFGUARD_180,BCoV,19.34858244
CALFGUARD_180,BCoV,19.61311723
CALFGUARD_181,BCoV,18.9139172
CALFGUARD_181,BCoV,18.92843585
CALFGUARD_181,BCoV,18.94705273
CALFGUARD_182,BCoV,18.9766935
CALFGUARD_182,BCoV,19.03886009
CALFGUARD_182,BCoV,19.10617516
CALFGUARD_183,BCoV,19.86837494
CALFGUARD_183,BCoV,19.09391916
CALFGUARD_183,BCoV,18.16308514
CALFGUARD_184,BCoV,19.52569899
CALFGUARD_184,BCoV,19.27856048
CALFGUARD_184,BCoV,19.35026863
CALFGUARD_185,BCoV,19.66910702
CALFGUARD_185,BCoV,19.58120401
CALFGUARD_185,BCoV,19.61757006
CALFGUARD_186,BCoV,21.84710132
CALFGUARD_186,BCoV,21.79135474
CALFGUARD_186,BCoV,21.89939806
CALFGUARD_187,BCoV,20.93065354
CALFGUARD_187,BCoV,20.89493349
CALFGUARD_187,BCoV,21.02736453
CALFGUARD_188,BCoV,20.90456201
CALFGUARD_188,BCoV,21.45490493
CALFGUARD_188,BCoV,20.98651115
CALFGUARD_189,BCoV,20.51203046
CALFGUARD_189,BCoV,20.3609938
CALFGUARD_189,BCoV,20.45488456
CALFGUARD_190,BCoV,20.60871298
CALFGUARD_190,BCoV,20.5791545
CALFGUARD_190,BCoV,20.60005809
CALFGUARD_191,BCoV,21.23435251
CALFGUARD_191,BCoV,21.16055185
CALFGUARD_191,BCoV,21.258141
CALFGUARD_192,BCoV,20.60347002
CALFGUARD_192,BCoV,20.35640639
CALFGUARD_192,BCoV,20.48081125
CALFGUARD_193,BCoV,20.16999151
CALFGUARD_193,BCoV,20.1158694
CALFGUARD_193,BCoV,20.30107925
CALFGUARD_194,BCoV,19.79509178
CALFGUARD_194,BCoV,19.73287286
CALFGUARD_194,BCoV,22.07336476
CALFGUARD_195,BCoV,20.59085267
CALFGUARD_195,BCoV,20.57787695
CALFGUARD_195,BCoV,20.57581041
CALFGUARD_196,BCoV,36.96140099
CALFGUARD_196,BCoV,37.55432439
CALFGUARD_197,BCoV,20.39073573
CALFGUARD_197,BCoV,19.7419118
CALFGUARD_197,BCoV,19.17589265
CALFGUARD_198,BCoV,20.36792258
CALFGUARD_198,BCoV,20.31033042
CALFGUARD_198,BCoV,20.33999007
CALFGUARD_199,BCoV,20.22950827
CALFGUARD_199,BCoV,20.14688723
CALFGUARD_199,BCoV,20.20210913
CALFGUARD_200,BCoV,20.00423111
CALFGUARD_200,BCoV,20.04512873
CALFGUARD_200,BCoV,20.06281036
CALFGUARD_201,BCoV,19.79637428
CALFGUARD_201,BCoV,19.76902578
CALFGUARD_201,BCoV,19.73491175
CALFGUARD_202,BCoV,19.49010544
CALFGUARD_202,BCoV,19.46339118
CALFGUARD_202,BCoV,19.50722242
CALFGUARD_203,BCoV,20.17589864
CALFGUARD_203,BCoV,20.1795751
CALFGUARD_203,BCoV,20.30588748
CALFGUARD_204,BCoV,19.76415522
CALFGUARD_204,BCoV,19.63927833
CALFGUARD_204,BCoV,19.74607314
CALFGUARD_205,BCoV,19.98281204
CALFGUARD_205,BCoV,20.020455
CALFGUARD_205,BCoV,20.16295923
CALFGUARD_206,BCoV,19.85973762
CALFGUARD_206,BCoV,19.95676028
CALFGUARD_206,BCoV,20.08085439
CALFGUARD_207,BCoV,20.09376351
CALFGUARD_207,BCoV,20.16424695
CALFGUARD_207,BCoV,20.32766785
CALFGUARD_208,BCoV,21.00305646
CALFGUARD_208,BCoV,21.0152961
CALFGUARD_208,BCoV,21.0874644
CALFGUARD_209,BCoV,19.4761925
CALFGUARD_209,BCoV,19.50419624
CALFGUARD_209,BCoV,19.65168261
