run_date,run_num,sample_date,collection_num,target,sample_id,ct
7-Jul-21,105,6-Jul-21,93,N2,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,NO_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,MI_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_A,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_B,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_C,39.63
7-Jul-21,105,6-Jul-21,93,N2,CC_93_C,Undetermined
7-Jul-21,105,6-Jul-21,93,N2,CC_93_C,39.4
14-Jul-21,106,12-Jul-21,95,N2,NO_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_A,39.63042264
14-Jul-21,106,12-Jul-21,95,N2,NO_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_A,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_B,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_C,39.21428844
14-Jul-21,106,12-Jul-21,95,N2,CC_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_C,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_D,38.8174353
14-Jul-21,106,12-Jul-21,95,N2,NO_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_D,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_D,39.21795425
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_E,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,NO_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,39.27742818
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,MI_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined
14-Jul-21,106,12-Jul-21,95,N2,CC_95_F,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_A,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,39.3026884
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,CC_96_E,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined
16-Jul-21,107,14-Jul-21,96,N2,NO_96_F,Undetermined
