"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3775","US-13001","13","1","18561","305","116","20338.34","624.97","48.49","9","1392","19","24"
"Atkinson","1668","US-13003","13","3","8330","252","46","20024.01","552.22","24.01","2","744","11","27"
"Bacon","2794","US-13005","13","5","11404","245","69","24500.18","605.05","87.69","10","1229","12","19"
"Baker","338","US-13007","13","7","3116","54","14","10847.24","449.29","0","0","279","1","4"
"Baldwin","8236","US-13009","13","9","44428","490","212","18537.86","477.18","27.01","12","2606","48","26"
"Banks","3876","US-13011","13","11","19982","381","91","19397.46","455.41","120.11","24","568","9","8"
"Barrow","22426","US-13013","13","13","86383","1144","264","25961.13","305.62","162.07","140","2659","16","8"
"Bartow","25296","US-13015","13","15","110771","1441","411","22836.3","371.04","146.25","162","8789","61","114"
"Ben Hill","2336","US-13017","13","17","16645","207","75","14034.24","450.59","12.02","2","2534","48","86"
"Berrien","2242","US-13019","13","19","19276","131","64","11631.04","332.02","20.75","4","3397","30","49"
"Bibb","32659","US-13021","13","21","152150","3008","718","21465","471.9","72.95","111","10795","99","104"
"Bleckley","1573","US-13023","13","23","12838","87","47","12252.69","366.1","0","0","2171","60","82"
"Brantley","2706","US-13025","13","25","19202","206","93","14092.28","484.32","36.45","7","1892","21","41"
"Brooks","2130","US-13027","13","27","15727","177","75","13543.59","476.89","38.15","6","1792","20","28"
"Bryan","7836","US-13029","13","29","39137","466","88","20021.97","224.85","58.77","23","2902","19","27"
"Bulloch","11362","US-13031","13","31","79467","417","119","14297.76","149.75","27.68","22","6050","161","285"
"Burke","3203","US-13033","13","33","22342","280","72","14336.23","322.26","35.81","8","2876","49","42"
"Butts","5403","US-13035","13","35","25174","341","152","21462.62","603.8","67.53","17","2004","20","19"
"Calhoun","1066","US-13037","13","37","6317","116","24","16875.1","379.93","0","0","447","1","3"
"Camden","10322","US-13039","13","39","53924","281","116","19141.76","215.12","66.76","36","3005","20","35"
"Candler","1486","US-13043","13","43","10837","117","59","13712.28","544.43","27.68","3","1016","47","52"
"Carroll","16347","US-13045","13","45","120119","502","193","13609","160.67","59.11","71","10897","299","395"
"Catoosa","14063","US-13047","13","47","68771","442","151","20449.03","219.57","45.08","31","2584","45","47"
"Charlton","2465","US-13049","13","49","13251","128","48","18602.37","362.24","60.37","8","895","17","23"
"Chatham","62792","US-13051","13","51","292176","3942","901","21491.16","308.38","65.37","191","13664","97","107"
"Chattahoochee","6832","US-13053","13","53","10749","64","17","63559.4","158.15","37.21","4","944","5","3"
"Chattooga","5846","US-13055","13","55","24766","362","128","23604.94","516.84","68.64","17","1585","18","23"
"Cherokee","52730","US-13057","13","57","266617","2692","624","19777.43","234.04","105.02","280","20411","50","71"
"Clarke","30072","US-13059","13","59","129779","1636","236","23171.7","181.85","86.3","112","4039","17","13"
"Clay","382","US-13061","13","61","2855","15","6","13380.04","210.16","35.03","1","210","1","4"
"Clayton","68117","US-13063","13","63","304838","3911","981","22345.31","321.81","100.38","306","6995","82","32"
"Clinch","1549","US-13065","13","65","6656","100","42","23272.24","631.01","60.1","4","855","3","10"
"Cobb","164992","US-13067","13","67","790588","5410","1841","20869.53","232.86","112.45","889","43346","178","265"
"Coffee","8630","US-13069","13","69","43042","1185","240","20050.18","557.59","18.59","8","2961","63","144"
"Colquitt","8916","US-13071","13","71","45393","453","194","19641.79","427.38","37.45","17","3739","77","42"
"Columbia","23743","US-13073","13","73","158631","1044","342","14967.44","215.59","60.52","96","18041","80","113"
"Cook","2237","US-13075","13","75","17437","156","59","12829.04","338.36","11.47","2","3285","21","37"
"Coweta","26443","US-13077","13","77","152001","2003","451","17396.6","296.71","152.63","232","12976","67","89"
"Crawford","1378","US-13079","13","79","12228","133","54","11269.22","441.61","65.42","8","747","9","9"
"Crisp","2662","US-13081","13","81","22289","214","74","11943.11","332","13.46","3","2765","69","114"
"Dade","2953","US-13083","13","83","16162","107","28","18271.25","173.25","37.12","6","891","11","10"
"Dawson","7194","US-13085","13","85","27021","446","101","26623.74","373.78","125.83","34","839","5","6"
"DeKalb","161765","US-13089","13","89","793154","9692","1700","20395.16","214.33","148.52","1178","22174","200","104"
"Decatur","5910","US-13087","13","87","26322","297","98","22452.7","372.31","37.99","10","2297","39","77"
"Dodge","2243","US-13091","13","91","20385","147","75","11003.19","367.92","14.72","3","3523","91","102"
"Dooly","1658","US-13093","13","93","13400","121","44","12373.13","328.36","37.31","5","1071","30","38"
"Dougherty","15995","US-13095","13","95","89905","1773","490","17791","545.02","17.8","16","7189","58","39"
"Douglas","33710","US-13097","13","97","151906","1426","362","22191.36","238.31","134.29","204","7992","90","132"
"Early","2246","US-13099","13","99","10146","128","56","22136.8","551.94","68.99","7","797","9","16"
"Echols","499","US-13101","13","101","3969","19","6","12572.44","151.17","25.2","1","539","6","12"
"Effingham","11689","US-13103","13","103","64026","687","181","18256.65","282.7","26.55","17","4187","29","31"
"Elbert","2901","US-13105","13","105","18945","357","89","15312.75","469.78","63.34","12","2208","29","59"
"Emanuel","3620","US-13107","13","107","22664","271","82","15972.47","361.81","17.65","4","3009","83","282"
"Evans","1651","US-13109","13","109","10687","152","41","15448.68","383.64","28.07","3","1106","28","70"
"Fannin","4572","US-13111","13","111","26320","386","144","17370.82","547.11","41.79","11","1068","33","21"
"Fayette","21952","US-13113","13","113","117544","1405","320","18675.56","272.24","158.24","186","6181","47","35"
"Floyd","26195","US-13115","13","115","99916","1742","445","26217.02","445.37","146.12","146","4912","109","129"
"Forsyth","52289","US-13117","13","117","252507","1760","423","20707.94","167.52","103.36","261","12111","26","23"
"Franklin","4824","US-13119","13","119","23329","314","87","20678.13","372.93","141.45","33","1118","25","12"
"Fulton","228171","US-13121","13","121","1099181","11680","2325","20758.27","211.52","118.09","1298","37619","257","173"
"Gilmer","5168","US-13123","13","123","31417","525","158","16449.69","502.91","63.66","20","2770","32","29"
"Glascock","291","US-13125","13","125","3025","33","10","9619.83","330.58","0","0","395","18","8"
"Glynn","20172","US-13127","13","127","86047","831","383","23443","445.11","67.41","58","6329","46","50"
"Gordon","13418","US-13129","13","129","58049","550","251","23114.95","432.39","74.08","43","5786","43","45"
"Grady","4111","US-13131","13","131","24540","305","81","16752.24","330.07","16.3","4","2562","31","40"
"Greene","3730","US-13133","13","133","18717","362","80","19928.41","427.42","26.71","5","856","10","6"
"Gwinnett","207877","US-13135","13","135","971145","8326","1910","21405.35","196.68","200.48","1947","39055","138","104"
"Habersham","9392","US-13137","13","137","45800","789","257","20506.55","561.14","131","60","1797","24","23"
"Hall","53993","US-13139","13","139","206349","3912","852","26165.86","412.89","165.25","341","7144","55","52"
"Hancock","1589","US-13141","13","141","8193","144","83","19394.61","1013.06","24.41","2","280","8","4"
"Haralson","3807","US-13143","13","143","30722","129","71","12391.77","231.1","35.8","11","2278","112","78"
"Harris","5789","US-13145","13","145","34712","407","107","16677.23","308.25","37.45","13","1091","14","24"
"Hart","3580","US-13147","13","147","26107","242","70","13712.8","268.13","134.06","35","1819","41","27"
"Heard","1717","US-13149","13","149","12370","118","37","13880.36","299.11","64.67","8","771","24","28"
"Henry","55011","US-13151","13","151","239866","2920","672","22934.05","280.16","147.58","354","13843","62","70"
"Houston","27894","US-13153","13","153","157039","1375","354","17762.47","225.42","122.9","193","19594","175","441"
"Irwin","1109","US-13155","13","155","9433","119","27","11756.6","286.23","0","0","1013","27","28"
"Jackson","20881","US-13157","13","157","74700","1230","289","27953.15","386.88","186.08","139","2988","20","14"
"Jasper","1970","US-13159","13","159","14199","207","45","13874.22","316.92","42.26","6","1614","35","16"
"Jeff Davis","2409","US-13161","13","161","15148","147","49","15903.09","323.48","13.2","2","1851","27","102"
"Jefferson","2342","US-13163","13","163","15313","246","85","15294.19","555.08","26.12","4","1741","32","44"
"Jenkins","1139","US-13165","13","165","8576","112","45","13281.25","524.72","0","0","559","22","48"
"Johnson","1619","US-13167","13","167","9661","138","64","16758.1","662.46","62.11","6","910","18","27"
"Jones","4211","US-13169","13","169","28591","367","111","14728.41","388.23","38.47","11","1611","15","15"
"Lamar","3706","US-13171","13","171","19347","275","106","19155.42","547.89","46.52","9","1898","19","22"
"Lanier","1257","US-13173","13","173","10351","50","22","12143.75","212.54","77.29","8","1355","8","16"
"Laurens","9440","US-13175","13","175","47296","497","263","19959.4","556.07","63.43","30","6268","59","63"
"Lee","4283","US-13177","13","177","29971","417","97","14290.48","323.65","33.37","10","4088","14","14"
