"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","52694","7","845"
"05-09 years","Georgia","85078","5","577"
"10-17 years","Georgia","201396","21","1882"
"18-29 years","Georgia","461792","281","9218"
"30-39 years","Georgia","368516","728","11092"
"40-49 years","Georgia","331617","1578","14366"
"50-59 years","Georgia","300248","3836","20931"
"60-69 years","Georgia","202768","6916","24077"
"70-79 years","Georgia","114321","9004","22392"
"80 & Older years","Georgia","59348","10487","16774"
"<1 years","Georgia","19363","5","888"
"Unknown years","Georgia","2788","0","404"
"01-04 years","Appling","85","0","0"
"05-09 years","Appling","131","0","0"
"10-17 years","Appling","431","1","3"
"18-29 years","Appling","669","1","9"
"30-39 years","Appling","518","4","10"
"40-49 years","Appling","501","10","32"
"50-59 years","Appling","503","12","51"
"60-69 years","Appling","420","24","76"
"70-79 years","Appling","292","28","61"
"80 & Older years","Appling","148","35","47"
"<1 years","Appling","26","0","0"
"01-04 years","Atkinson","45","1","3"
"05-09 years","Atkinson","77","0","1"
"10-17 years","Atkinson","191","0","2"
"18-29 years","Atkinson","325","0","16"
"30-39 years","Atkinson","240","0","19"
"40-49 years","Atkinson","246","4","39"
"50-59 years","Atkinson","224","5","43"
"60-69 years","Atkinson","154","10","53"
"70-79 years","Atkinson","83","10","37"
"80 & Older years","Atkinson","42","13","29"
"<1 years","Atkinson","18","0","1"
"01-04 years","Bacon","60","0","1"
"05-09 years","Bacon","86","0","1"
"10-17 years","Bacon","244","0","1"
"18-29 years","Bacon","675","0","15"
"30-39 years","Bacon","408","1","13"
"40-49 years","Bacon","403","5","28"
"50-59 years","Bacon","322","5","32"
"60-69 years","Bacon","268","21","60"
"70-79 years","Bacon","180","19","52"
"80 & Older years","Bacon","94","16","33"
"<1 years","Bacon","20","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","22","0","0"
"10-17 years","Baker","23","0","1"
"18-29 years","Baker","62","0","0"
"30-39 years","Baker","41","0","5"
"40-49 years","Baker","38","3","3"
"50-59 years","Baker","42","0","5"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","26","3","11"
"80 & Older years","Baker","18","5","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","146","0","2"
"05-09 years","Baldwin","280","0","0"
"10-17 years","Baldwin","601","1","5"
"18-29 years","Baldwin","2184","0","24"
"30-39 years","Baldwin","1137","2","21"
"40-49 years","Baldwin","1056","7","49"
"50-59 years","Baldwin","1034","25","86"
"60-69 years","Baldwin","802","45","107"
"70-79 years","Baldwin","495","54","83"
"80 & Older years","Baldwin","273","73","82"
"<1 years","Baldwin","50","0","4"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","66","0","3"
"05-09 years","Banks","106","0","1"
"10-17 years","Banks","273","0","5"
"18-29 years","Banks","721","1","25"
"30-39 years","Banks","551","0","23"
"40-49 years","Banks","523","8","33"
"50-59 years","Banks","556","10","49"
"60-69 years","Banks","444","18","82"
"70-79 years","Banks","326","30","93"
"80 & Older years","Banks","144","22","46"
"<1 years","Banks","34","0","2"
"Unknown years","Banks","8","0","1"
"01-04 years","Barrow","487","0","6"
"05-09 years","Barrow","814","0","5"
"10-17 years","Barrow","2115","1","21"
"18-29 years","Barrow","4173","2","79"
"30-39 years","Barrow","3746","3","100"
"40-49 years","Barrow","3494","13","125"
"50-59 years","Barrow","3012","25","193"
"60-69 years","Barrow","1981","60","217"
"70-79 years","Barrow","1152","70","165"
"80 & Older years","Barrow","507","80","151"
"<1 years","Barrow","210","0","11"
"Unknown years","Barrow","7","0","2"
"01-04 years","Bartow","568","0","20"
"05-09 years","Bartow","813","0","6"
"10-17 years","Bartow","2186","0","25"
"18-29 years","Bartow","4551","0","56"
"30-39 years","Bartow","3758","6","89"
"40-49 years","Bartow","3512","12","144"
"50-59 years","Bartow","3690","38","254"
"60-69 years","Bartow","2391","99","271"
"70-79 years","Bartow","1472","128","296"
"80 & Older years","Bartow","717","117","191"
"<1 years","Bartow","255","0","10"
"Unknown years","Bartow","15","0","2"
"01-04 years","Ben Hill","46","0","1"
"05-09 years","Ben Hill","42","0","0"
"10-17 years","Ben Hill","186","0","0"
"18-29 years","Ben Hill","442","0","5"
"30-39 years","Ben Hill","358","3","13"
"40-49 years","Ben Hill","309","2","18"
"50-59 years","Ben Hill","320","8","36"
"60-69 years","Ben Hill","271","17","39"
"70-79 years","Ben Hill","176","25","59"
"80 & Older years","Ben Hill","81","20","24"
"<1 years","Ben Hill","21","0","2"
"01-04 years","Berrien","67","0","1"
"05-09 years","Berrien","75","0","0"
"10-17 years","Berrien","200","0","1"
