"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1198040","15212","63431"
"Male","Georgia","987949","17652","59644"
"Unknown","Georgia","13940","4","371"
"Female","Appling","2033","56","150"
"Male","Appling","1690","59","139"
"Unknown","Appling","1","0","0"
"Female","Atkinson","907","17","126"
"Male","Atkinson","738","26","117"
"Female","Bacon","1349","27","121"
"Male","Bacon","1411","40","115"
"Unknown","Bacon","1","0","0"
"Female","Baker","182","6","25"
"Male","Baker","150","8","23"
"Unknown","Baker","1","0","0"
"Female","Baldwin","4537","71","202"
"Male","Baldwin","3520","136","261"
"Unknown","Baldwin","2","0","0"
"Female","Banks","2041","47","199"
"Male","Banks","1697","42","163"
"Unknown","Banks","14","0","1"
"Female","Barrow","11809","121","583"
"Male","Barrow","9822","133","491"
"Unknown","Barrow","67","0","1"
"Female","Bartow","12886","182","679"
"Male","Bartow","10938","218","685"
"Unknown","Bartow","104","0","0"
"Female","Ben Hill","1281","33","106"
"Male","Ben Hill","967","42","91"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","1194","32","63"
"Male","Berrien","979","28","53"
"Unknown","Berrien","7","0","0"
"Female","Bibb","18363","353","1559"
"Male","Bibb","13550","361","1325"
"Unknown","Bibb","10","0","1"
"Female","Bleckley","906","26","44"
"Male","Bleckley","638","20","36"
"Unknown","Bleckley","9","0","0"
"Female","Brantley","1441","39","98"
"Male","Brantley","1220","54","93"
"Female","Brooks","1158","28","87"
"Male","Brooks","905","42","80"
"Unknown","Brooks","6","0","0"
"Female","Bryan","3986","32","209"
"Male","Bryan","3623","49","229"
"Unknown","Bryan","16","0","0"
"Female","Bulloch","6351","60","217"
"Male","Bulloch","4917","54","188"
"Unknown","Bulloch","8","0","0"
"Female","Burke","1750","32","132"
"Male","Burke","1398","36","126"
"Unknown","Burke","13","0","0"
"Female","Butts","2614","65","144"
"Male","Butts","2626","84","164"
"Unknown","Butts","30","0","0"
"Female","Calhoun","430","14","49"
"Male","Calhoun","593","9","57"
"Unknown","Calhoun","14","0","0"
"Female","Camden","5438","53","139"
"Male","Camden","4539","55","128"
"Unknown","Camden","17","0","0"
"Female","Candler","800","21","61"
"Male","Candler","655","37","48"
"Unknown","Candler","15","0","0"
"Female","Carroll","8527","87","220"
"Male","Carroll","7273","100","253"
"Unknown","Carroll","55","0","6"
"Female","Catoosa","7305","76","225"
"Male","Catoosa","6306","70","207"
"Unknown","Catoosa","118","0","5"
"Female","Charlton","917","19","64"
"Male","Charlton","1476","28","61"
"Unknown","Charlton","1","0","0"
"Female","Chatham","33568","379","1919"
"Male","Chatham","27364","469","1786"
"Unknown","Chatham","91","0","3"
"Female","Chattahoochee","738","3","26"
"Male","Chattahoochee","5857","14","36"
"Unknown","Chattahoochee","128","0","0"
"Female","Chattooga","3090","59","172"
"Male","Chattooga","2631","63","176"
"Unknown","Chattooga","24","0","0"
"Female","Cherokee","27633","258","1199"
"Male","Cherokee","23519","352","1335"
"Unknown","Cherokee","112","0","1"
"Female","Clarke","16435","104","791"
"Male","Clarke","12608","130","697"
