"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","11951","51"
"Hispanic/Latino","American Indian/Alaska Native","662","2"
"Hispanic/Latino","Asian","1418","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","772","5"
"Hispanic/Latino","Other","73735","518"
"Hispanic/Latino","Unknown","37850","10"
"Hispanic/Latino","White","104430","994"
"Non-Hispanic/Latino","African-American/Black","619183","10788"
"Non-Hispanic/Latino","American Indian/Alaska Native","1251","29"
"Non-Hispanic/Latino","Asian","58739","563"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1675","17"
"Non-Hispanic/Latino","Other","40428","93"
"Non-Hispanic/Latino","Unknown","17169","5"
"Non-Hispanic/Latino","White","839855","19662"
"Unknown","African-American/Black","35149","5"
"Unknown","American Indian/Alaska Native","443","0"
"Unknown","Asian","7327","2"
"Unknown","Native Hawaiian/Pacific Islander","381","0"
"Unknown","Other","34480","7"
"Unknown","Unknown","266812","91"
"Unknown","White","46219","20"
